protocol_id,elem_id,speaker_name,speaker_i_ort,speaker_party,speaker_born,speaker_wiki_id,comments,text,link,Resposibility
prot-1947--fk--34,i-YZRhUCvyCru89z3Fksmd3G,Jones Erik Andersson,Andersson i Ovanmyra,bf,28 October 1881,Q5555074,,"Herr Andersson, Jones Erik, erhöll ånyo ordet för kort genmäle och anförde:",https://betalab.kb.se/prot-1947--fk--34/prot_1947__fk__34-022.jp2/_view,Fredrik
prot-1947--fk--14,i-YbzQcgL8tdTrWxX7EkuUyL,Karl Wistrand,Wistrand i Stockholm,h,9 April 1889,Q6340875,,Herr Wistrand:,https://betalab.kb.se/prot-1947--fk--14/prot_1947__fk__14-036.jp2/_view,Fredrik
prot-1947--ak--4,i-Yb7ZvCvQ3dUEG8TybB4DNB,James Dickson,Dickson i Vikaryd,h,18 March 1899,Q5621600,,"Herr Dickson, som anförde:",https://betalab.kb.se/prot-1947--ak--4/prot_1947__ak__4-004.jp2/_view,Fredrik
prot-1947--ak--11,i-YcHijGJkzadNTMCKEJkcWM,Abel Andersson,Andersson i Löbbo,s,15 June 1887,Q5553810,,Herr Andersson i Löbbo:,https://betalab.kb.se/prot-1947--ak--11/prot_1947__ak__11-099.jp2/_view,Fredrik
prot-1947--ak--31,i-YcNnakTuWWsyEJRusBs2vc,Åke Wiberg,Wiberg i Malmö,h,30 March 1902,Q6239641,,"Herr Wiberg, som jämväl på begäran erhöll ordet för kort genmäle, yttrade:",https://betalab.kb.se/prot-1947--ak--31/prot_1947__ak__31-081.jp2/_view,Fredrik
prot-1948--fk--18,i-Wt9ZnCmfdjaX439Xkmfbwp,Fritiof Domö,"Gustafson i Järpås, Domö i Domö, Domö i Mariestad","n, h",30 August 1889,Q5623378,,Herr DOMÖ:,https://betalab.kb.se/prot-1948--fk--18/prot_1948__fk__18-081.jp2/_view,Fredrik
prot-1948-höst-fk--40,i-WtKLLTqweM12BNQXxYtAX7,David Norman,"Norman i Fagersta, Norman i Sollentuna, Norman i Hemmestavik",s,18 July 1887,Q6017122,,Herr NORMAN:,https://betalab.kb.se/prot-1948-höst-fk--40/prot_1948_höst_fk__40-109.jp2/_view,Fredrik
prot-1948--fk--24,i-WuWeybZq4nqBsRionixNbv,Ragnar Lundqvist,Lundquist i Rotebro,"lmb, h",6 September 1885,Q5967602,,Herr LUNDQVIST:,https://betalab.kb.se/prot-1948--fk--24/prot_1948__fk__24-084.jp2/_view,Fredrik
prot-1948--ak--8,i-PBY6AdKDFPc6tVkUsJkFnQ,Filip Kristensson,Kristensson i Osby,fp,17 June 1898,Q5923219,,Herr KRISTENSSON erhöll på begäran ordet för kort genmäle och yttrade:,https://betalab.kb.se/prot-1948--ak--8/prot_1948__ak__8-077.jp2/_view,Fredrik
prot-1948--ak--24,i-PCE7TfSqivaFsGE79LWNwX,Solveig Rönn-Christiansson,Rönn-Christiansson i Göteborg,k,1902-11-11 00:00:00,Q1448829,,Fru RÖNN-CHRISTIANSSON:,https://betalab.kb.se/prot-1948--ak--24/prot_1948__ak__24-048.jp2/_view,Fredrik
prot-1948--ak--17,i-PCjkLZqTonbTAgj3u7MguT,Torsten Nilsson,Nilsson i Stockholm,s,1905-04-01 00:00:00,Q241035,,"Chefen för kommunikationsdepartementet, herr statsrådet NILSSON:",https://betalab.kb.se/prot-1948--ak--17/prot_1948__ak__17-013.jp2/_view,Fredrik
prot-1949--fk--15,i-YX8eYHQMXnxiEG6mKi7G1B,Erik Arrhén,"Arrhén i Herrestad, Arrhén i Uddevalla",h,24 November 1899,Q5560111,,Herr ARRHÉN:,https://betalab.kb.se/prot-1949--fk--15/prot_1949__fk__15-074.jp2/_view,Fredrik
prot-1949--fk--17,i-YYW516XFKy9N9UQK3vVcDJ,Gustaf Velander,Velander i Sundsvall,"n, h",1 June 1884,Q6223367,,Herr VELANDER:,https://betalab.kb.se/prot-1949--fk--17/prot_1949__fk__17-038.jp2/_view,Fredrik
prot-1949--fk--4,i-Ya8NjScazkgTxSQn9AkYNg,Harald Åkerberg,Åkerberg i Örebro,s,12 October 1883,Q6255057,,Herr ANDRE VICE TALMANNEN:,https://betalab.kb.se/prot-1949--fk--4/prot_1949__fk__4-003.jp2/_view,Fredrik
prot-1949-höst-ak--25,i-TtWqT2yskSPHLtcmiek9wh,Manne Ståhl,Ståhl i Karlstad,fp,15 January 1901,Q6194224,,Herr STÅHL:,https://betalab.kb.se/prot-1949-höst-ak--25/prot_1949_höst_ak__25-109.jp2/_view,Fredrik
prot-1949--ak--21,i-TuR5dCmCCBrbcbbZDqg5FD,Jarl Hjalmarson,"Hjalmarson i Stora Essinge, Hjalmarson i Lidingö",h,15 June 1904,Q3162739,,Herr HJALMARSON (kort genmäle):,https://betalab.kb.se/prot-1949--ak--21/prot_1949__ak__21-058.jp2/_view,Fredrik
prot-1949--ak--14,i-TwQj7dLwqAUBRt7Cp2vehA,Lars Lindahl,Lindahl i Laxå,s,22 February 1894,Q5953157,,Herr LINDAHL:,https://betalab.kb.se/prot-1949--ak--14/prot_1949__ak__14-111.jp2/_view,Fredrik
prot-1950--fk--16,i-YYcZnxMGsZKZrjTgZaYUAG,Georg Andrén,"Andrén i Uppsala, Andrén i Lerum","lmb, h",10 December 1890,Q5556673,,Herr ANDRÉN:,https://betalab.kb.se/prot-1950--fk--16/prot_1950__fk__16-065.jp2/_view,Fredrik
prot-1950--fk--2,i-YaN2wggUhvfs4bqfoXvTcW,Elon Andersson,"Andersson i Bollnäs, Andersson i Gävle",fp,25 January 1891,Q5554402,,"Herr ANDERSSON, ELON (kort genmäle):",https://betalab.kb.se/prot-1950--fk--2/prot_1950__fk__2-094.jp2/_view,Fredrik
prot-1950--fk--2,i-YbEYKH5Q76D3EnBw3KiyAm,Per Lundgren,Lundgren i Umeå,h,2 August 1890,Q6150973,"Merge between previous speech and this intro. Correct intro is ""Herr LUNDGREN (kort genmäle):""",avgöranden bl. a. i frågan om gruppcheferna. Herr LUNDGREN (kort genmäle):,https://betalab.kb.se/prot-1950--fk--2/prot_1950__fk__2-148.jp2/_view,Fredrik
prot-1950--ak--15,i-RHnezdjf4R6NfLJ3qcembZ,Hjalmar Gustafson,Gustafson i Dädesjö,s,20 May 1893,Q5868653,,Herr GUSTAFSON i Dädesjö:,https://betalab.kb.se/prot-1950--ak--15/prot_1950__ak__15-214.jp2/_view,Fredrik
prot-1950-höst-ak--33,i-RJXuW1ZMhYQ39bx7pznkwj,Bertil von Friesen,von Friesen i Göteborg,fp,4 June 1901,Q4895712,,Herr von FRIESEN:,https://betalab.kb.se/prot-1950-höst-ak--33/prot_1950_höst_ak__33-018.jp2/_view,Fredrik
prot-1950--ak--19,i-RJj3Df2AWdUB7xQm64K7ky,Axel Rubbestad,"Rubbestad i Rubbestad, Rubbestad i Vrine",bf/c,2 October 1888,Q6082121,His name was previously Axel Hansson (before 1943),Herr RUBBESTAD (kort genmäle):,https://betalab.kb.se/prot-1950--ak--19/prot_1950__ak__19-083.jp2/_view,Fredrik
prot-1951--fk--23,i-WcyBciwhKfamP2TZDEDZJg,Sven Ohlon,Ohlon i Göteborg,fp,27 March 1888,Q6023421,,Herr OHLON:,https://betalab.kb.se/prot-1951--fk--23/prot_1951__fk__23-007.jp2/_view,Fredrik
prot-1951--fk--8,i-WfZoNTu7dudNcYvdVBW51d,Herman Zetterberg,–,s,1 July 1904,Q6252055,He was a minister but not an MP,Herr statsrådet ZETTERBERG:,https://betalab.kb.se/prot-1951--fk--8/prot_1951__fk__8-044.jp2/_view,Fredrik
prot-1951--fk--14,i-WfeKYv7jYgAReYb6p3oU1g,Johan Sunne,Sunne i Mjölby,fp,9 December 1890,Q6196822,,Herr SUNNE:,https://betalab.kb.se/prot-1951--fk--14/prot_1951__fk__14-078.jp2/_view,Fredrik
prot-1951-extrahöst-ak--35,i-PJFzp8r4JRZ33YoQTjvrVc,Waldemar Svensson,Svensson i Ljungskile,fp,26 May 1897,Q6199259,,Herr SVENSSON i Ljungskile:,https://betalab.kb.se/prot-1951-extrahöst-ak--35/prot_1951_extrahöst_ak__35-248.jp2/_view,Fredrik
prot-1951--ak--21,i-PJtLobU5MWjzECbqXTdaQS,Jarl Hjalmarson,"Hjalmarson i Stora Essinge, Hjalmarson i Lidingö",h,15 June 1904,Q3162739,,Herr HJALMARSON:,https://betalab.kb.se/prot-1951--ak--21/prot_1951__ak__21-115.jp2/_view,Fredrik
prot-1951-extrahöst-ak--35,i-PKMJPiX1JKMms7mUzcKZQE,August Sävström,Säfström i Bollnäs,s,25 March 1879,Q6201372,,Herr TALMANNEN:,https://betalab.kb.se/prot-1951-extrahöst-ak--35/prot_1951_extrahöst_ak__35-149.jp2/_view,Fredrik
prot-1952--fk--10,i-YbZ1Y2Ufjmdo1GpseSQJoR,Erik Lindblom,Lindblom i Falun,fp,20 September 1888,Q5954341,,Herr LINDBLOM:,https://betalab.kb.se/prot-1952--fk--10/prot_1952__fk__10-048.jp2/_view,Fredrik
prot-1952--fk--15,i-Ybs1B2NQiFHp6CkE4fa1Af,Tor Björnberg,Björnberg i Oskarshamn,h,17 April 1892,Q5578273,,Herr BJÖRNBERG:,https://betalab.kb.se/prot-1952--fk--15/prot_1952__fk__15-050.jp2/_view,Fredrik
prot-1952--fk--23,i-Yc4iSqfpbiFrWitdMYeLug,Knut Ewerlöf,Ewerlöf i Stockholm,h,28 November 1890,Q5721610,,Herr EWERLÖF:,https://betalab.kb.se/prot-1952--fk--23/prot_1952__fk__23-049.jp2/_view,Fredrik
prot-1952--ak--16,i-PDbEAEqdAWs71VcZGVqJUJ,Brita Elmén,Elmén i Göteborg,fp,9 March 1900,Q4946541,,Fröken ELMÉN:,https://betalab.kb.se/prot-1952--ak--16/prot_1952__ak__16-107.jp2/_view,Fredrik
prot-1952--ak--23,i-PECeGzSKgD2XMHRRDBkeRA,Abel Andersson,Andersson i Löbbo,s,15 June 1887,Q5553810,,Herr Andersson i Löbbo:,https://betalab.kb.se/prot-1952--ak--23/prot_1952__ak__23-186.jp2/_view,Fredrik
prot-1952-höst-ak--26,i-PErMW3DbrLVx6R43DjzfLH,Waldemar Svensson,Svensson i Ljungskile,fp,26 May 1897,Q6199259,,Herr SVENSSON i Ljungskile (kort genmäle):,https://betalab.kb.se/prot-1952-höst-ak--26/prot_1952_höst_ak__26-092.jp2/_view,Fredrik
prot-1953-höst-fk--28,i-YamiHLJTMkaoGkGH4Xhk2z,Hjalmar Nilson,Nilson i Spånstad,bf/c,24 May 1901,Q6009324,,Herr statsrådet HJALMAR NILSON:,https://betalab.kb.se/prot-1953-höst-fk--28/prot_1953_höst_fk__28-010.jp2/_view,Fredrik
prot-1953--fk--21,i-Yc8hpG4dnEafAKdVe8BkxV,Sven Ohlon,Ohlon i Göteborg,fp,27 March 1888,Q6023421,,Herr OHLON (fp):,https://betalab.kb.se/prot-1953--fk--21/prot_1953__fk__21-037.jp2/_view,Fredrik
prot-1953-höst-fk--32,i-YcCueqY3jyGPFy4uv7LT6K,Tage Magnusson,Magnusson i Borås,h/m,1910-08-09 00:00:00,Q5972180,,Herr Magnusson (h) fortsatte:,https://betalab.kb.se/prot-1953-höst-fk--32/prot_1953_höst_fk__32-013.jp2/_view,Fredrik
prot-1953-höst-ak--32,i-R1somYyZFY7mGkWtTUyKjr,Johannes Blidfors,Blidfors i Lund,s,1903-09-02 00:00:00,Q5579064,,Herr BLIDFORS (s) kort genmäle:,https://betalab.kb.se/prot-1953-höst-ak--32/prot_1953_höst_ak__32-115.jp2/_view,Fredrik
prot-1953--ak--4,i-R26RSaBp3CVKPgTiMEAUwP,Bertil Ohlin,Ohlin i Stockholm,fp,23 April 1899,Q179493,,Herr OHLIN (fp) kort genmäle:,https://betalab.kb.se/prot-1953--ak--4/prot_1953__ak__4-072.jp2/_view,Fredrik
prot-1953-höst-ak--32,i-R2oiaeqaHGkJ4wgGiKbMfm,Sam Norup,"Norup i Knislinge, Norup i Norup",bf/c,19 May 1896,Q6157673,,"Chefen för jordbruksdepartementet, herr statsrådet NORUP:",https://betalab.kb.se/prot-1953-höst-ak--32/prot_1953_höst_ak__32-012.jp2/_view,Fredrik
prot-1954-höst-fk--31,i-X53B2p1vEFPfVb7zPgfnoH,Birger Lundström,Lundström i Bromma,fp,22 February 1904,Q5967746,,Herr LUNDSTRÖM (fp):,https://betalab.kb.se/prot-1954-höst-fk--31/prot_1954_höst_fk__31-083.jp2/_view,Fredrik
prot-1954--fk--21,i-X5zwyCwAvfJ5RZUYZftZvZ,Lars Eliasson,Eliasson i Sundborn,bf/c,1914-12-08 00:00:00,Q5708826,,Herr ELIASSON (bf):,https://betalab.kb.se/prot-1954--fk--21/prot_1954__fk__21-104.jp2/_view,Fredrik
prot-1954--fk--18,i-X62t8MbxVuoikUgW7TsJkd,Edgar Sjödahl ,Sjödahl i Göteborg,s,19 January 1887,Q6178299,,Herr SJÖDAHL (s):,https://betalab.kb.se/prot-1954--fk--18/prot_1954__fk__18-033.jp2/_view,Fredrik
prot-1954-höst-ak--33,i-MutoUumrG6UewSJjKDpRzo,Filip Kristensson,Kristensson i Osby,fp,17 June 1898,Q5923219,,Herr KRISTENSSON i Osby (fp):,https://betalab.kb.se/prot-1954-höst-ak--33/prot_1954_höst_ak__33-011.jp2/_view,Fredrik
prot-1954-höst-ak--33,i-MuxzYMd7dgnhE63zdpMn7m,Sam Norup,"Norup i Knislinge, Norup i Norup",bf/c,19 May 1896,Q6157673,,"Chefen för jordbruksdepartementet, herr statsrådet NORUP, som yttrade:",https://betalab.kb.se/prot-1954-höst-ak--33/prot_1954_höst_ak__33-014.jp2/_view,Fredrik
prot-1954-höst-ak--26,i-Mv1VTmX4tRNtRV9YnH48UM,Tage Erlander,"Erlander i Lund, Erlander i Stockholm, Erlander i Bromma",s,13 June 1901,Q53707,,Hans excellens herr statsministern ERLANDER:,https://betalab.kb.se/prot-1954-höst-ak--26/prot_1954_höst_ak__26-122.jp2/_view,Fredrik
prot-1955--fk--10,i-YYJLms94P7FVSYKs46Su1Q,Ebon Andersson,Andersson i Stockholm,h,19 November 1896,Q4935783,,Fröken ANDERSSON (h) kort genmäle:,https://betalab.kb.se/prot-1955--fk--10/prot_1955__fk__10-018.jp2/_view,Fredrik
prot-1955--fk--4,i-YZ674qcGzRuz2NPYEHmRWP,Gustaf Karlsson,Karlsson i Munkedal,s,25 December 1889,Q5901397,,"Herr KARLSSON, GUSTAF, (s):",https://betalab.kb.se/prot-1955--fk--4/prot_1955__fk__4-116.jp2/_view,Fredrik
prot-1955--fk--20,i-YcJVYQSbQW2L7krV3wQfCe,Sven Ohlon,Ohlon i Göteborg,fp,27 March 1888,Q6023421,,Herr OHLON (fp):,https://betalab.kb.se/prot-1955--fk--20/prot_1955__fk__20-045.jp2/_view,Fredrik
prot-1955--ak--9,i-MGcq7NU76mepk2k4Mz1uwV,Harald Hallén,"Hallén i Torrskog, Hallén i Arvika",s,29 March 1884,Q5784568,"OCR-error, correct intro is ""Herr HALLÉN (s):""",Herr HALLEÉN (s):,https://betalab.kb.se/prot-1955--ak--9/prot_1955__ak__9-059.jp2/_view,Fredrik
prot-1955--ak--17,i-MH17TRAXjxmmD4TYSs8tAG,Sigurd Lindholm,Lindholm i Sandviken,s,20 May 1904,Q5956828,,Herr LINDHOLM (s):,https://betalab.kb.se/prot-1955--ak--17/prot_1955__ak__17-076.jp2/_view,Fredrik
prot-1955--ak--17,i-MH95uFVdwSfaQKpzC51z7P,Axel Gustafsson,Gustafsson i Borås,fp,13 October 1900,Q16945247,,Herr GUSTAFSSON i Borås (fp):,https://betalab.kb.se/prot-1955--ak--17/prot_1955__ak__17-039.jp2/_view,Fredrik
prot-1956--fk--12,i-WJckEjX4Dy3NiRmMd3FYez,Hjalmar Nilson,Nilson i Spånstad,bf/c,24 May 1901,Q6009324,,"Herr NILSSON, HJALMAR, (s):",https://betalab.kb.se/prot-1956--fk--12/prot_1956__fk__12-045.jp2/_view,Fredrik
prot-1956--fk--18,i-WKjyRSNg711tAxmuMLT3sV,Lars Lindahl,Lindahl i Laxå,s,22 February 1894,Q5953157,,Herr LINDAHL (s):,https://betalab.kb.se/prot-1956--fk--18/prot_1956__fk__18-118.jp2/_view,Fredrik
prot-1956-höst-ak--33,i-KYSwGrDFj9XedHp88psADz,Leif Cassel,Cassel i Gunnerud,h/m,1906-12-08 00:00:00,Q5604541,,Herr CASSEL (h):,https://betalab.kb.se/prot-1956-höst-ak--33/prot_1956_höst_ak__33-051.jp2/_view,Fredrik
prot-1956-höst-ak--27,i-KZ27JaHWJJcVtZMZWTLNNC,Leif Cassel,Cassel i Gunnerud,h/m,1906-12-08 00:00:00,Q5604541,,Herr HJALMARSON (h):,https://betalab.kb.se/prot-1956-höst-ak--27/prot_1956_höst_ak__27-014.jp2/_view,Fredrik
prot-1956--ak--12,i-KZ7Wd95iLUh84vtXygS4TN,Tekla Torbrink,Torbrink i Kalmar,s,1901-08-23 00:00:00,Q4983117,,Fru TORBRINK (s):,https://betalab.kb.se/prot-1956--ak--12/prot_1956__ak__12-005.jp2/_view,Fredrik
prot-1957--fk--8,i-YZsEaaiYHDECaTA6XzxdYZ,Bengt Elmgren,Elmgren i Norrköping,s,21 March 1901,Q5710001,,Herr ELMGREN (s):,https://betalab.kb.se/prot-1957--fk--8/prot_1957__fk__8-028.jp2/_view,Fredrik
prot-1957-höst-fk--23,i-YaDC4sgrT4iDMEDYVnFpgk,John Bergvall,Bergvall i Stockholm,fp,26 October 1892,Q5573639,,Vidare yttrade herr TALMANNEN:,https://betalab.kb.se/prot-1957-höst-fk--23/prot_1957_höst_fk__23-002.jp2/_view,Fredrik
prot-1957-höst-fk--30,i-YaJVmMeVRBZDZi8H7pVnuH,Knut Hesselbom,Hesselbom i Åmål,s,1905-09-14 00:00:00,Q5803936,,Herr HESSELBOM (s):,https://betalab.kb.se/prot-1957-höst-fk--30/prot_1957_höst_fk__30-024.jp2/_view,Fredrik
prot-1957--ak--2,i-MeWbjPEMkXT8CW6YWadjWs,Per Edvin Sköld,"Sköld i Oxie, Sköld i Kämpinge, Sköld i Toftaröd",Socialdemokraterna,25 maj 1891,Q6180686,,Herr SKÖLD (s) kort genmäle:,https://betalab.kb.se/prot-1957--ak--2/prot_1957__ak__2-255.jp2/_view,Fredrik
prot-1957--ak--14,i-Mf3Nis4en5ZXNoYvkh5Nse,Axel Gustafsson,Gustafsson i Borås,fp,13 October 1900,Q16945247,,Herr GUSTAFSSON i Borås (fp):,https://betalab.kb.se/prot-1957--ak--14/prot_1957__ak__14-023.jp2/_view,Fredrik
prot-1957--ak--20,i-MfgjLYn7GgFQbreT6QJ77n,Jarl Hjalmarson,"Hjalmarson i Stora Essinge, Hjalmarson i Lidingö",h,15 June 1904,Q3162739,,Herr HJALMARSON (h) kort genmäle:,https://betalab.kb.se/prot-1957--ak--20/prot_1957__ak__20-022.jp2/_view,Fredrik
prot-1958-a-fk--13,i-YXNWtCb9uV2ZiwNQUSxqM4,Gustaf Elofsson,Elofsson i Vä,bf/c,5 April 1897,Q5620975,,"Herr ELOFSSON, GUSTAF, (cp) kort genmäle:",https://betalab.kb.se/prot-1958-a-fk--13/prot_1958_a_fk__13-032.jp2/_view,Fredrik
prot-1958-b-fk--12,i-YZYnetPSUvkwPrdKwkhDE3,Gösta Netzén,"Netzén i Malmö, Netzén i Stockholm",s,30 January 1908,Q6005925,Impressive that the algorithm manage to correctly identify this long intro!,"Herr statsrådet och chefen för jordbruksdepartementet NETZÉN, som tillkännagivit, att han hade för avsikt att i samband med behandlingen av detta ärende besvara herr Hedströms fråga angående avskaffande av utjämningsavgiften på konsumtionsmjölk såvitt gäller övre Norrland, erhöll ordet och anförde:",https://betalab.kb.se/prot-1958-b-fk--12/prot_1958_b_fk__12-061.jp2/_view,Fredrik
prot-1958-a-fk--5,i-YbYmVSfGEL3rr2dCKAo6TP,Gunnar Öhman,Öhman i Stockholm,k,20 October 1904,Q6256712,,Herr ÖHMAN (k):,https://betalab.kb.se/prot-1958-a-fk--5/prot_1958_a_fk__5-018.jp2/_view,Fredrik
prot-1958-a-ak--8,i-JyioS6rLuPKpRzm3wswSpq,Ingrid Segerstedt Wiberg,Segerstedt Wiberg i Göteborg,,18 June 1911,Q3379728,,Fru SEGERSTEDT-WIBERG (fp):,https://betalab.kb.se/prot-1958-a-ak--8/prot_1958_a_ak__8-026.jp2/_view,Fredrik
prot-1958-a-ak--18,i-K15vDVGRWJqXLc6xeCgHAT,Nils Hansson ,Hansson i Skegrie,bf/c,14 March 1902,Q5789491,,Herr HANSSON i Skegrie (cp) kort genmäle:,https://betalab.kb.se/prot-1958-a-ak--18/prot_1958_a_ak__18-086.jp2/_view,Fredrik
prot-1958-b-ak--5,i-K2XtDm3mfteeH1BiMAUcUz,Gösta Netzén,"Netzén i Malmö, Netzén i Stockholm",s,30 January 1908,Q6005925,,"Chefen för jordbruksdepartementet, herr statsrådet NETZÉN:",https://betalab.kb.se/prot-1958-b-ak--5/prot_1958_b_ak__5-063.jp2/_view,Fredrik
prot-1959--fk--14,i-UuCKU1nH33RxsYR2Ma6oL3,Gustaf Sundelin,Sundelin i Fellingsbro,fp,5 September 1890,Q6195774,,Herr SUNDELIN (fp):,https://betalab.kb.se/prot-1959--fk--14/prot_1959__fk__14-116.jp2/_view,Fredrik
prot-1959--fk--2,i-Uumy8GCTYipxh8cZ29mHB4,Knut Ewerlöf,Ewerlöf i Stockholm,h,28 November 1890,Q5721610,,Herr EWERLÖF (h) kort genmäle:,https://betalab.kb.se/prot-1959--fk--2/prot_1959__fk__2-046.jp2/_view,Fredrik
prot-1959-höst-fk--28,i-Uvq8WJ22ZTzVb8L6tocfVv,Gunnar Sträng,Sträng i Spånga,s,1906-12-23 00:00:00,Q354112,,Herr statsrådet STRÄNG:,https://betalab.kb.se/prot-1959-höst-fk--28/prot_1959_höst_fk__28-085.jp2/_view,Fredrik
prot-1959--ak--16,i-LLxRS1vfk717CuwL3aAYSx,Gunnar Heckscher,Heckscher i Stockholm,h,8 July 1909,Q1554742,,Herr HECKSCHER (h):,https://betalab.kb.se/prot-1959--ak--16/prot_1959__ak__16-231.jp2/_view,Fredrik
prot-1959--ak--15,i-LMCmazhxhPRjBBHJU7TvEw,Erik Larsson,Larsson i Norderön,c,5 January 1910,Q5937365,,Herr LARSSON i Norderön (cp):,https://betalab.kb.se/prot-1959--ak--15/prot_1959__ak__15-046.jp2/_view,Fredrik
prot-1959--ak--19,i-LMt6HoCEdyLBRDbFNVwe6f,Oscar Malmborg,Malmborg i Skövde,fp,15 June 1892,Q6151901,,Herr andre vice talmannen MALMBORG (fp):,https://betalab.kb.se/prot-1959--ak--19/prot_1959__ak__19-117.jp2/_view,Fredrik
prot-1960--fk--16,i-TsEiK1r8u5XdRKJUKAvqPb,Gunnar Spetz,Spetz i Håbygård,fp,18 October 1891,Q6185568,,Herr SPETZ (fp) kort genmäle:,https://betalab.kb.se/prot-1960--fk--16/prot_1960__fk__16-104.jp2/_view,Fredrik
prot-1960--fk--7,i-Ttbn9QZ6M3Fa4MVbNMXUXp,Eric Holmqvist,"Holmqvist i Malmö, Holmqvist i Kallhäll",s,2 February 1917,Q2345137,,Herr HOLMQVIST (s):,https://betalab.kb.se/prot-1960--fk--7/prot_1960__fk__7-086.jp2/_view,Fredrik
prot-1960--fk--19,i-TvdRUn5eJwRm5FA3YKptYP,Harald Pettersson,Pettersson i Kvänum,c,6 March 1918,Q6046890,,"Herr PETTERSSON, HARALD, (cp):",https://betalab.kb.se/prot-1960--fk--19/prot_1960__fk__19-048.jp2/_view,Fredrik
prot-1960--ak--10,i-JhgDbg6X7yV84Ukutv739K,Jöns Nilsson,Nilsson i Bästekille,h/m,9 March 1905,Q6010796,,"Herr NILSSON i Bästekille (h), som yttrade:",https://betalab.kb.se/prot-1960--ak--10/prot_1960__ak__10-187.jp2/_view,Fredrik
prot-1960-höst-ak--27,i-JhwpEHdBCxeKmL1WtLpmLP,Fridolf Thapper,Thapper i Finspång,s,8 July 1899,Q6206899,,Herr TALMANNEN anförde:,https://betalab.kb.se/prot-1960-höst-ak--27/prot_1960_höst_ak__27-054.jp2/_view,Fredrik
prot-1960-höst-ak--29,i-Ji42sPFADwWDZBwuwcygxw,Alf Andersson,Andersson i Essvik,s,18 September 1899,Q5553830,,Herr ANDERSSON i Essvik (s):,https://betalab.kb.se/prot-1960-höst-ak--29/prot_1960_höst_ak__29-106.jp2/_view,Fredrik
prot-1961--fk--22,i-XhK65XZpy7yFXESLQ6hAwm,Ingrid Osvald,"Osvald i Brogård, Osvald i Stockholm",fp,31 December 1896,Q4971459,,Herr OSVALD (fp):,https://betalab.kb.se/prot-1961--fk--22/prot_1961__fk__22-078.jp2/_view,Fredrik
prot-1961-höst-fk--35,i-XhxnU2nSuSaQxvm7Pqqe3i,Per-Olof Hanson,Hanson i Vällingby,fp,25 May 1918,Q5788852,,"Herr HANSON, PER-OLOF, (fp):",https://betalab.kb.se/prot-1961-höst-fk--35/prot_1961_höst_fk__35-011.jp2/_view,Fredrik
prot-1961--fk--25,i-Xj7VRcn1dT62vmFdtbSSgs,John Ericsson,"Ericsson i Kinna, Ericsson i Stockholm",s,1907-04-06 00:00:00,Q5715273,,"Herr ERICSSON, JOHN, (s):",https://betalab.kb.se/prot-1961--fk--25/prot_1961__fk__25-049.jp2/_view,Fredrik
prot-1961--ak--10,i-LwSS7Kwvogrsgcx4DwvJDx,Axel Gustafsson,Gustafsson i Borås,fp,13 October 1900,Q16945247,,Herr GUSTAFSSON i Borås (fp):,https://betalab.kb.se/prot-1961--ak--10/prot_1961__ak__10-043.jp2/_view,Fredrik
prot-1961--ak--20,i-LxKtTPNKEpqrGnjGNL7gpy,Gösta Bohman,Bohman i Stockholm,h/m,15 January 1911,Q263366,,Herr BOHMAN (h):,https://betalab.kb.se/prot-1961--ak--20/prot_1961__ak__20-047.jp2/_view,Fredrik
prot-1961--ak--11,i-LxWJf1iSnB8di9ewioBirt,John Lundberg ,Lundberg i Uppsala,s,1905-12-17 00:00:00,Q5965908,,Herr LUNDBERG (s):,https://betalab.kb.se/prot-1961--ak--11/prot_1961__ak__11-013.jp2/_view,Fredrik
prot-1962--fk--10,i-V9QaUbYTAjhGa771d9WvaB,Yngve Möller ,Möller i Gävle,s,29 June 1912,Q6001307,,Herr MÖLLER (s) kort genmäle:,https://betalab.kb.se/prot-1962--fk--10/prot_1962__fk__10-072.jp2/_view,Fredrik
prot-1962--fk--19,i-V9tMG5D9C2tQHcidL83GaD,Harald Pettersson,Pettersson i Kvänum,c,6 March 1918,Q6046890,,"Herr PETTERSSON, HARALD, (cp):",https://betalab.kb.se/prot-1962--fk--19/prot_1962__fk__19-077.jp2/_view,Fredrik
prot-1962--fk--23,i-VAkzY3Pppp2ExE6VwFg6EE,Gunnar Lange,Lange i Stockholm,,9 March 1909,Q6146893,,Herr statsrådet LANGE:,https://betalab.kb.se/prot-1962--fk--23/prot_1962__fk__23-080.jp2/_view,Fredrik
prot-1962-höst-ak--34,i-KXNjR1K5x9RqYSCnev1XtX,Bertil Ohlin,Ohlin i Stockholm,fp,23 April 1899,Q179493,,Herr OHLIN (fp):,https://betalab.kb.se/prot-1962-höst-ak--34/prot_1962_höst_ak__34-011.jp2/_view,Fredrik
prot-1962-höst-ak--37,i-KYbusNx9BTQH1Hd1dY6wWH,Erik Larsson,Larsson i Norderön,c,5 January 1910,Q5937365,,Herr LARSSON i Norderön (cp):,https://betalab.kb.se/prot-1962-höst-ak--37/prot_1962_höst_ak__37-143.jp2/_view,Fredrik
