uuid,who,intro,name,correct,github,year,reason
i-H6izbWuzzHHxeby38A4ndN,Q6072728,Herr RIMÅS (fp):,RIMÅS,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1960/prot-1960--ak--9.xml,1960,
i-2JuuYQYGdU7Zd5hK6AGT6k,Q5546036,Herr ALEMYR (s):,ALEMYR,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1960/prot-1960--ak--9.xml,1960,
i-N3fcXfSu9Qq5WpV6eHV3To,Q5617240,Herr DARLIN (h):,DARLIN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1960/prot-1960--ak--8.xml,1960,
i-XW5vnuHfTUVqB3dHbSW7dc,Q3162739,Herr HJALMARSON (h):,HJALMARSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1961/prot-1961--ak--14.xml,1961,
i-QxnVzGLdrheMei2AxQYbjs,Q5781896,Herr HAGBERG (k) kort genmäle:,HAGBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1961/prot-1961--ak--3.xml,1961,
i-Y1R11t7pCLmcKEkgQsbViN,Q5788852,"Herr HANSON, PER-OLOF, (fp) kort genmäle:",PER-OLOF HANSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1961/prot-1961--fk--24.xml,1961,
i-mr4kZLXqk9NrUvJoDFgSb,Q5716662,"Herr ERIKSSON i Bäckmora (cp), som yttrade:",ERIKSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1962/prot-1962--ak--10.xml,1962,
i-SKD9DMyEdZJCiT7agpysA,Q4959880,"Interpellation i anledning av vidtagna åtgärder för rekrytering
            av gymnasieingenjörer till särskild lärarutbildning vid de tekniska
            högskolorna Ordet lämnades på begäran till Fru KRISTENSSON (h),
            som yttrade:",KRISTENSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1962/prot-1962--ak--4.xml,1962,
i-WhbEKKi7sZq6Tb1Zbqh7Fv,Q6202203,Herr SÖDERQUIST (fp):,SÖDERQUIST,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1962/prot-1962--fk--14.xml,1962,
i-9YvkNqx6LnxDBgKMG1MmDc,Q4963023,Statsrådet fru LINDSTRÖM:,LINDSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1963/prot-1963--fk--26.xml,1963,
i-MRLemwUe1Bb4MPbSJjQAFr,Q4969234,Fru NETTELBRANDT (fp):,NETTELBRANDT,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1963/prot-1963--ak--14.xml,1963,
i-AZ6LvraEZrPuSNq1FvvkCj,unknown,Herr KÄLLSTAD (fp):,KÄLLSTAD,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1963/prot-1963-höst-ak--35.xml,1963,unknown
i-WucRtsscXVu3LzJoCNLSG7,Q5584283,Herr BRACONIER (h) kort genmäle:,BRACONIER,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1964/prot-1964--ak--30.xml,1964,
i-PdNQuTmzkrq6nbsT3V9Ksd,unknown,Fru ERIKSSON i Stockholm (s):,ERIKSSON,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1964/prot-1964-höst-ak--41.xml,1964,unknown
i-8sRcn86Y3M3Mh6yXffokcr,Q4946541,Fröken ELMÉN (fp) kort genmäle:,ELMÉN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1964/prot-1964-höst-ak--38.xml,1964,
i-JpGPE96WfbVtsCaJke3rmE,Q4990401,Fröken WETTERSTRÖM (h) kort genmäle:,WETTERSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1965/prot-1965--ak--22.xml,1965,
i-MUx4y3c9U8Z2LBADTxWHk6,Q5938913,"Herr LARSSON, THORSTEN, kort genmäle:",THORSTEN LARSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1965/prot-1965-höst-fk--39.xml,1965,
i-45szbru8WiMexMYCPV2Zhb,Q6212168,Herr TOBÉ (fp):,TOBÉ,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1965/prot-1965-höst-ak--37.xml,1965,
i-X7pCXiE3NPF2uxqcctyoLy,Q5956968,Herr LINDKVIST (s):,LINDKVIST,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1966/prot-1966--ak--15.xml,1966,
i-BudrpdnFn218iz9LzawzKy,Q6236316,Herr WERBRO (fp):,WERBRO,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1966/prot-1966-höst-ak--36.xml,1966,
i-Toy6gCgTWQM9fzRKGTZoiH,unknown,Herr NORDSTRANDH (h):,NORDSTRANDH,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1966/prot-1966--ak--9.xml,1966,unknown
i-ECjg5BuY91QF7TJcSsinSS,Q5561426,". Chefen för socialdepartementet, herr statsrådet ASPLING, som
            yttrade:",ASPLING,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1967/prot-1967--ak--33.xml,1967,
i-4MdEurENvYmhKoG2tE3hRb,Q53713,"Chefen för kommunikationsdepartementet, herr statsrådet PALME,
            som yttrade:",PALME,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1967/prot-1967--ak--15.xml,1967,
i-5Gs4qgBv5oXJuHYLJzDs4i,Q5561426,"Chefen för socialdepartementet, herr statsrådet ASPLING:",ASPLING,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1967/prot-1967-höst-ak--52.xml,1967,
i-VYhEz3EvXyibsg9wAJzaoR,Q5716251,"Herr ERIKSSON, EINAR, (s):",EINAR ERIKSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1968/prot-1968--fk--14.xml,1968,
i-4MA6bXTVsKFcoyHGbYXZSi,Q5570062,Herr BENGTSON (cp):,BENGTSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1968/prot-1968--fk--16.xml,1968,
i-SLKjyPJbZ7M3iF2n5onWtV,Q5989925,"Herr statsrådet MOBERG, som yttrade:",MOBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1968/prot-1968--ak--23.xml,1968,
i-KBe93KTRpf5GEDVqKvPxPs,unknown,"Herr LARSSON i Umeå (fp), som yttrade:",LARSSON,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--ak--1.xml,1969,unknown
i-bL3xQbKW9KaeMUHHJGV6E,Q6225983,Herr VIRGIN (m) kort genmäle:,VIRGIN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--fk--13.xml,1969,
i-HpWf54WTXDAK9QgXh6D13K,Q354112,"Chefen för finansdepartementet, herr statsrådet STRÄNG:",STRÄNG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--ak--4.xml,1969,
i-6B7bbUQpPfNUFcS5jq4Tmq,Q5554162,"Herr ANDERSSON, BIRGER, (s):",BIRGER ANDERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1970/prot-1970--fk--13.xml,1970,
i-8qkTBYbtrCY3Fg5ZEHEyu9,unknown,Fru SUNDBERG (m) kort genmäle:,SUNDBERG,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1970/prot-1970--ak--26.xml,1970,unknown
i-BugiztMiNDuabBXxR7NzYt,Q53740,"Herr statsrådet och chefen för utbildningsdepartementet CARLSSON
            erhöll ordet för att besvara herr Richardsons (fp) fråga angående
            frånvaron i skolorna, vilken fråga intagits i kammarens protokoll
            för den 14 maj förmiddagen, och yttrade:",CARLSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1970/prot-1970--fk--27.xml,1970,
i-D3aQ6LhHsoPYdWMp3VRBhR,Q5551491,Herr ADAMSSON (s) kort genmäle:,ADAMSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1971/prot-1971--45.xml,1971,
i-LFWPwLd9A6NLYZY4WmRq15,unknown,Herr LARSSON i Öskevik (c):,LARSSON,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1971/prot-1971--135.xml,1971,unknown
i-TAQnPgyhJ5BPBm65PiSp3c,Q6178706,Herr SJÖHOLM (fp):,SJÖHOLM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1971/prot-1971--139.xml,1971,
i-6vP1DL7Kru5kJSffkCEsDZ,Q5629976,Herr EKINGE (fp):,EKINGE,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--61.xml,1972,
i-KdftubzFU6LEagXem5dCfa,Q4989732,Fru SKANTZ (s):,SKANTZ,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--106.xml,1972,
i-8MUW4yfHbBqeQ7tqSJ1AM,Q5718312,Herr ERNULF (fp):,ERNULF,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--74.xml,1972,
i-4EmYiFRg4ZtFgLuj2tYwDc,Q6017016,Herr kommunikationsministern NORLING:,NORLING,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1973/prot-1973--143.xml,1973,
i-UTtPs4HnmR5xJ1Gnjuq1e2,Q5965908,Herr LUNDBERG (s):,LUNDBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1973/prot-1973--133.xml,1973,
i-7QEP2ocobH8NUBEZVdBprk,Q6199002,Herr SVENSSON i Malmö (vpk) kort genmäle:,SVENSSON,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1973/prot-1973--87.xml,1973,wrong Herr Svensson
i-Hu8qMKgDgTcUJMjWg3WhpY,unknown,Herr OLSSON i Stockholm (vpk):,OLSSON,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1974/prot-1974--40.xml,1974,unknown
i-7YYcjeoe6dQytendhCrTfz,Q96981306,Herr ISRAELSSON (vpk):,ISRAELSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1974/prot-1974--145.xml,1974,
i-Uhvu7xrv8hoknfnzbiYK6b,Q6017016,Herr kommunikationsministern NORLING:,NORLING,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1974/prot-1974--106.xml,1974,
i-FXqGSeQuPBPFCLjtxststh,Q21567757,Fru LANTZ (vpk) kort genmäle:,LANTZ,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197576/prot-197576--112.xml,1975,
i-4fA8QSV7fmNamKFGZbd4KC,Q5573006,Herr BERGQVIST (s):,BERGQVIST,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197576/prot-197576--76.xml,1975,
i-S1BmUtwndDbyyU3pdnzVSN,Q21567822,Herr WICTORSSON (s):,WICTORSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197576/prot-197576--16.xml,1975,
i-KsCg1otnY8TwNzj4B2WrMY,unknown,Fru BERNSTRÖM (fp):,BERNSTRÖM,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197677/prot-197677--136.xml,1976,unknown
i-6xrVua8sFCPWiAxzTUUbtB,Q517762,Fru statsrådet TROEDSSON:,TROEDSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197677/prot-197677--104.xml,1976,
i-JmVoynrZ1A9vjw8uwYVGun,unknown,Herr WIRMARK (fp) kort genmäle:,WIRMARK,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197677/prot-197677--109.xml,1976,unknown
i-Kpkahw4U2Dy6qMRoPqQ6Kh,Q21733239,KARL-ANDERS PETERSSON (c):,KARL-ANDERS PETERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197778/prot-197778--140.xml,1977,
i-FBtbzHio1p4xKjVUwZHAaC,Q96982611,RUNE TORWALD (c):,RUNE TORWALD,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197778/prot-197778--96.xml,1977,
i-FSU2DqaepuPZ2QDpAsp1PT,Q6216923,"153 av Ingvar Carlsson (s) till kommunikationsministern om säkrare
            sjötransporter av olja:",Ingvar Carlsson,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197778/prot-197778--104.xml,1977,needs dependency parser
i-AfSUigiefs4bwJFfmzWamW,Q5996964,"111 av Karl Erik Olsson (c) till budgetoch ekonomiministern om
            det svenska valutasamarbetet:",Karl Erik Olsson,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197879/prot-197879--50.xml,1978,needs dependency parser
i-TuP7aqBVuSN6WJbpX43Cno,Q441891,CARL-HENRIK HERMANSSON (vpk) kort genmäle:,CARL-HENRIK HERMANSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197879/prot-197879--152.xml,1978,
i-NvepViDKgC5JDrdyJkXFix,Q4916267,"408 av Ingemar Hallenius (c) till bostadsministern om statliga
            bostadslån för finansiering av gymnasieskolans lokaler:",Ingemar Hallenius,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197879/prot-197879--97.xml,1978,needs dependency parser
i-LqTEMbufYXR9HSgUGFfttg,unknown,"143 av Kerstin Göthberg (c) till statsrådet Britt Mogård om samarbetet
            mellan förskola och skola:",Kerstin Göthberg,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197980/prot-197980--33.xml,1979,needs dependency parser (for statsråd)
i-MY2H7kfzwf58K1GrAYyUAD,Q6012116,TORE NILSSON (m):,TORE NILSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197980/prot-197980--109.xml,1979,
i-NZXAmJZ7XwyHkHirYfRBx2,Q5588228,LENNART BRUNANDER (c):,LENNART BRUNANDER,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/197980/prot-197980--49.xml,1979,
i-5yG9Ag3PhSxZnmrs4TThBz,Q5741003,Anf. 112 TOMMY FRANZÉN (vpk):,TOMMY FRANZÉN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198081/prot-198081--103.xml,1980,
i-DCHzvhuPpSHGDacq94xG8g,Q5005171,Anf. 144 BÖRJE HÖRNLUND (c):,BÖRJE HÖRNLUND,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198081/prot-198081--49.xml,1980,
i-DkTKRBfCKMkMdx9EHmAHh1,Q6219347,Anf. 16 JÖRGEN ULLENHAG (fp) replik:,JÖRGEN ULLENHAG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198081/prot-198081--120.xml,1980,
i-97iuyyKKsqaBh5q5EyXacj,Q5892602,Anf. 38 STIG JOSEFSON (c) replik:,STIG JOSEFSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198182/prot-198182--23.xml,1981,
i-Pdu2D1PBv1MqhDU5jtJcq1,Q5768614,Anf. 27 PÄR GRANSTEDT (c):,PÄR GRANSTEDT,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198182/prot-198182--59.xml,1981,
i-BTqiBjifNECniAaPcWL7Ue,Q460919,Anf. 161 LENA HJELM-WALLÉN (s):,LENA HJELM-WALLÉN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198182/prot-198182--113.xml,1981,
i-QnaLMHD7pPRbg9zqGzGHZC,Q97971246,Anf. 157 MARGARETA PERSSON (s):,MARGARETA PERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198283/prot-198283--101.xml,1982,
i-Sobx93Xoq8G2zXAW46hUNQ,Q4938512,Anf. 16 FRIDA BERGLUND (s) replik:,FRIDA BERGLUND,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198283/prot-198283--145.xml,1982,
i-2fQJ3kGW44Hr8e2W6mk49h,Q4352320,Anf. 63 CLAES ELMSTEDT (c):,CLAES ELMSTEDT,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198283/prot-198283--111.xml,1982,
i-7m9aN9a1tUvuGtoPfjG6pE,Q5708784,Anf. 58 INGEMAR ELIASSON (fp):,INGEMAR ELIASSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198384/prot-198384--18.xml,1983,
i-XRCu81vHiR3DqJL6N5GcMC,Q5707468,Anf. 66 ALLAN EKSTRÖM (m):,ALLAN EKSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198384/prot-198384--63.xml,1983,
i-P1CTTfdRTZEHQ1aHCWE97g,Q16165766,Anf. 115 KERSTIN ANDERSSON (c):,KERSTIN ANDERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198384/prot-198384--30.xml,1983,
i-MuXCr2jcxFnPTEdUanap4z,Q5967249,Anf. 62 Jordbruksminister SVANTE LUNDKVIST:,SVANTE LUNDKVIST,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198485/prot-198485--14.xml,1984,
i-QUkJyvafYuJKpUKZo3TB8u,Q6245387,Anf. 19 BENGT WITTBOM (m):,BENGT WITTBOM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198485/prot-198485--150.xml,1984,
i-CcsN1xKZjwfRN7CvbPTL8x,Q5901520,Anf. 27 INGVAR KARLSSON i Bengtsfors (c):,INGVAR KARLSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198485/prot-198485--7.xml,1984,
i-G8XyyqJ1E2HKZG9iF9CpEr,Q5891616,Anf. 73 GÖTE JONSSON (m) replik:,GÖTE JONSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198586/prot-198586--161.xml,1985,
i-SsV7n4P3ctZwFuzUemDAy7,Q5816531,Anf. 121 Kommunikationsminister SVEN HULTERSTRÖM:,SVEN HULTERSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198586/prot-198586--17.xml,1985,
i-MX6gNQC3pNbq2HVrs3ZnV9,Q6239734,"141 av Gunnar Hökmark (m) till justitieministern om tillämpningen
            av sekretesslagen:",Gunnar Hökmark,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198586/prot-198586--88.xml,1985,needs dependency parser
i-FYRBSDCx4kLpgSCCCABuej,Q5816531,Anf. 140 Kommunikationsminister SVEN HULTERSTRÖM:,SVEN HULTERSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198687/prot-198687--14.xml,1986,
i-TGCV5Q7eLUkUAECyMHEmtS,Q5603378,"61 av Anita Bråkenhielm (m) till försvarsministern om resultatet
            av Stockholmskonferensen:",Anita Bråkenhielm,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198687/prot-198687--6.xml,1986,needs dependency parser
i-Xwej6eFZwDtyLMereKTCP5,Q5554537,Anf. 20 Statsrådet GEORG ANDERSSON:,GEORG ANDERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198687/prot-198687--102.xml,1986,
i-4Vw2TZZPwJUABiwK4kWVbr,Q6161344,Anf. 24 LENNART PETTERSSON (s):,LENNART PETTERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--16.xml,1987,
i-DJbkbCXiKBjG8nS8KJkZFo,Q98271441,Anf. 78 SVEN-OLOF NORDLUND (s):,SVEN-OLOF NORDLUND,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--44.xml,1987,
i-ELnwgxbECnbGDDrdSCwXyS,Q4948276,Anf. 119 ELISABETH FLEETWOOD (m):,ELISABETH FLEETWOOD,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--16.xml,1987,
i-QRJ3gmz9dK4cTdxedykdyS,Q5947788,Anf. 235 PAUL LESTANDER (vpk):,PAUL LESTANDER,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198889/prot-198889--46.xml,1988,
i-NarTb71512XSKdLMtaJcqq,Q865171,Anf. 45 BIRGER SCHLAUG (mp):,BIRGER SCHLAUG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198889/prot-198889--53.xml,1988,
i-2bLEV453C11HMnajXzUN4u,Q21567822,Anf. 31 ÅKE WICTORSSON (s) replik:,ÅKE WICTORSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198889/prot-198889--119.xml,1988,
i-366XHZCNVnakduPeTJxni1,Q6068448,Anf.39 ROY OTTOSSON (mp):,ROY OTTOSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--86.xml,1989,
i-8wUPpamm6833soyqxPdJtM,Q4987718,Anf.9 CHARLOTTE BRANTING (fp) replik:,CHARLOTTE BRANTING,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--138.xml,1989,
i-N65ogj6UacaDr8jHky36m7,Q4949486,MARGARETA GARD (m):,MARGARETA GARD,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--30.xml,1989,
i-YaWeL1trKccDVxS8PgbC4m,Q5957403,Anf. 58 Statsrådet BENGT LINDQVIST (s):,BENGT LINDQVIST,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199091/prot-199091--86.xml,1990,
i-D7U8eCgbdKC7rhV4QVEUWY,Q5615831,Anf. 135 KJELL DAHLSTRÖM (mp):,KJELL DAHLSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199091/prot-199091--83.xml,1990,
i-GjFHBQsZ4yh7SutLyLjuvz,Q5388933,Anf. 116 Statsrådet ERIK ÅSBRINK (s):,ERIK ÅSBRINK,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199091/prot-199091--21.xml,1990,
i-GmgGCqoBUpZkqZY2Lamy9d,Q5969883,Anf. 53 JOHAN LÖNNROTH (v):,JOHAN LÖNNROTH,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199192/prot-199192--38.xml,1991,
i-RAJ31kaPsLxTDFGm87EZ9p,Q5881540,Anf. 146 BO G JENEVALL (nyd):,BO G JENEVALL,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199192/prot-199192--48.xml,1991,
i-Tof8yVSsCBZxTiABCAXJYp,Q316519,Anf. 82 JERZY EINHORN (kds) replik:,JERZY EINHORN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199192/prot-199192--99.xml,1991,
i-BVrs7GGZXxpMu5BRD5ybUQ,Q4968703,Anf. 24 INGELA MÅRTENSSON (fp):,INGELA MÅRTENSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199293/prot-199293--20.xml,1992,
i-PwMgFGiz2dfpgNcdX6ndv5,Q5740878,Anf. 25 JAN-OLOF FRANZÉN (m):,JAN-OLOF FRANZÉN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199293/prot-199293--115.xml,1992,
i-6GxUtDzCyAKKoChaqjTUiA,Q2021126,"1992/93:117 av Lena Klevenås (s) till miljöministern om avveckling
            av kärnkraften:",Lena Klevenås,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199293/prot-199293--14.xml,1992,needs dependency parser
i-Tjb94kq22KhR8M9vQgHroH,Q4943258,Anf. 64 HARRIET COLLIANDER (nyd):,HARRIET COLLIANDER,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199394/prot-199394--34.xml,1993,
i-N8yPtyxeEihpwjLpstCQ7m,Q5005171,HÖRNLUND (c):,HÖRNLUND,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199394/prot-199394--114.xml,1993,
i-VTfYx8N4sMEt28KT7od41y,Q4991027,Anf. 43 ANNIKA ÅHNBERG (-):,ANNIKA ÅHNBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199394/prot-199394--25.xml,1993,
i-QsxJJVYHt95PzpWBQssC2a,Q6093367,Anf. 115 STIG SANDSTRÖM (v),STIG SANDSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199495/prot-199495--102.xml,1994,
i-K4Gz5iZXJeUdjz8KvFJUUC,unknown,"Fru talman! Det finns ett mycket gott skäl att avskaffa vårdnadsbidraget:
            Det är dyrt - ja, för dyrt i nuvarande ekonomiska situation.Anf.
            124 GUNNAR HÖKMARK (m):",GUNNAR HÖKMARK,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199495/prot-199495--14.xml,1994,"{'gender': 'woman', 'other': 'talman', 'party': '(m)', 'name': 'GUNNAR HÖKMARK'}"
i-9kLMsuxDMhemhtocY3THCw,Q4984124,UUSMANN (s):,UUSMANN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199495/prot-199495--27.xml,1994,
i-St5FRXWjnZ5Bt7hyrHak4s,Q6212236,Anf. 13 LARS TOBISSON (m) replik,LARS TOBISSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199596/prot-199596--44.xml,1995,
i-WQqUMk7jFFpCBxBEP6bvS7,Q2448370,Anf. 80 BO LUNDGREN (m),BO LUNDGREN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199596/prot-199596--31.xml,1995,
i-LMZhqqadGL4cAmKSHNyUMK,Q4974484,Anf. 76 INGER RENÉ (m),INGER RENÉ,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199596/prot-199596--68.xml,1995,
i-C2BscRjcBeaFaY27qFyZwH,Q5556026,Anf. 8 STEN ANDERSSON (m):,STEN ANDERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199697/prot-199697--26.xml,1996,
i-vCoCQ8G6YJ9VEJtz5jv6F,Q3297193,Anf. 126 Statsrådet THOMAS ÖSTROS (s):,THOMAS ÖSTROS,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/199697/prot-199697--95.xml,1996,
