uuid,who,intro,github,year
i-3c5Qahk4qTkFfTmssLwKoT,Q5577424,Herr Björck:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1947/prot-1947--fk--16.xml,1947
i-CwPTdEAeMRs4VVpz1vSWGf,Q5716335,Herr Eriksson i Stockholm:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1947/prot-1947--ak--24.xml,1947
i-6ZqJfzR1KY2yvkRSrP8cpX,Q5573639,Herr Bergvall:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1947/prot-1947--fk--3.xml,1947
i-EfKQkqE6BP2asoTFEqdchF,Q241035,Herr statsrådet Nilsson:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1947/prot-1947--fk--26.xml,1947
i-D1iUSQjDQM9iEfXfdQgywv,Q6196710,"Herr SUNDSTRÖM erhöll likaledes på begäran ordet för kort genmäle
            och yttrade:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1948/prot-1948--ak--8.xml,1948
i-QeDq87TEUaXCvzzH1sjNiG,Q5783838,Herr HALL:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1948/prot-1948--ak--10.xml,1948
i-9WAjexUup9Wwz8TQqCVzEe,unknown,Herr WETHJE (kort genmäle):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1948/prot-1948--fk--10.xml,1948
i-CdQ2vp1uZ15KDH6fEYtpbd,Q5784568,Herr HALLEN:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1948/prot-1948--ak--29.xml,1948
i-Qh1o6K45SBUmeYkPSLF9cX,Q6180013,Herr SKOGLUND i Umeå:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1948/prot-1948-höst-ak--37.xml,1948
i-STnzCijTAf3HkYMPptzBat,Q5572108,"Ordet lämnades härefter på begäran till herr BERGH, som yttrade:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1949/prot-1949--fk--5.xml,1949
i-34wRY72onFChCwvW2UZ96W,Q5895705,Herr JÖNSSON i Rossbol:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1949/prot-1949--ak--16.xml,1949
i-6BWoSy9ewfVZPt2qR5neK4,Q6009324,Herr NILSON i Spånstad:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1949/prot-1949--ak--2.xml,1949
i-6HW85J3hAawAhpTKBD8SGa,Q5934313,Herr OSVALD:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1949/prot-1949--fk--10.xml,1949
i-VU6ijK8V8SYPhuPptYgdvo,unknown,Herr HAGÅRD:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1949/prot-1949--ak--9.xml,1949
i-CX2LyYoXjoFDgwoUJufdU4,Q5621600,Herr DICKSON:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1950/prot-1950--ak--16.xml,1950
i-B6WhD5xYFnifBJpZGQVtJj,Q1797996,Herr HERLITZ:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1950/prot-1950--fk--8.xml,1950
i-PsU1wPBiGr8A19Qm1NGZYc,Q6020985,Herr NÄSLUND:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1950/prot-1950--fk--15.xml,1950
i-W64ogjosM7W8k1rzzEnh9g,Q5820402,Herr HÅSTAD:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1950/prot-1950--ak--12.xml,1950
i-SZ6jRvkz1BXdLLCTaKLZJh,Q6173314,Herr von SETH:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1950/prot-1950--ak--9.xml,1950
i-WRZhVSmxcdT7Cc2rQSkxYz,Q4935783,Fröken ANDERSSON:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1951/prot-1951-extrahöst-fk--34.xml,1951
i-KiigThvfEuMMG2p2EnWbR8,Q6017122,Herr NORMAN:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1951/prot-1951--fk--23.xml,1951
i-XGZiC2jpsDE46G9Nh9UZBE,unknown,Herr HAGÅRD:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1951/prot-1951--ak--24.xml,1951
i-QkzUApwLCciEJVxm6y9BEm,Q707581,Herr STEN:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1951/prot-1951--fk--14.xml,1951
i-8yeTYCV5kDtM2tzKgicEKY,Q6194224,Herr STÅHL:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1951/prot-1951--ak--18.xml,1951
i-Rbi5WvdMFGcAUj4svqSLHo,Q6023421,Herr OHLON:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1952/prot-1952--fk--16.xml,1952
i-UxsQ216V1HRcSKJSrtznyK,unknown,"Herr ANDRE VICE TALMANNEN, som yttrade:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1952/prot-1952--ak--7.xml,1952
i-GaJuPZoz5ZbXYbfhVfyFQv,Q5584283,Herr BRACONIER:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1952/prot-1952--ak--7.xml,1952
i-EA2xwhbS84zfaJFh7suYj8,Q5553616,Herr ANDERSON i Sundsvall:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1952/prot-1952--ak--22.xml,1952
i-FdLw5stJAU1pJQEs86iLMZ,Q6178806,Herr SJÖLIN (kort genmäle):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1952/prot-1952--ak--17.xml,1952
i-QRJTFDFLC3eaMaj1YWidSj,Q1797996,Herr HERLITZ (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1953/prot-1953-höst-fk--31.xml,1953
i-RuJXi33NNM22c8qp5EpDHw,Q6172705,Herr SENANDER (k):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1953/prot-1953-höst-ak--30.xml,1953
i-H3xUtygEBRAwaozrzK1QAm,Q5576607,Herr BIRKE (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1953/prot-1953--ak--16.xml,1953
i-9SYD2z7yGPsyiXifcDjjRo,Q6156731,"Herr NIHLFORS (fp), som yttrade:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1953/prot-1953--ak--13.xml,1953
i-8SKBdbQVzf9XsMTio1DgPi,Q6008439,Herr SEVERIN i Stockholm (s) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1953/prot-1953-höst-ak--32.xml,1953
i-hMrpBwVsV6gpbFnyChQqG,Q5618652,Herr DE GEER (fp) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1954/prot-1954--fk--2.xml,1954
i-Ko3c18trs7vyK2bAPRYrkU,Q5777713,Herr GUSTAFSSON i Stockholm (s) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1954/prot-1954--ak--16.xml,1954
i-WpvH3UUQ3QSatjpZfoAEvN,Q6043605,Herr PERSSON i Norrby (bf):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1954/prot-1954--ak--18.xml,1954
i-9p61CuFcTD3xoNuEFeCvTp,Q6182662,Herr SNYGG (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1954/prot-1954-höst-fk--32.xml,1954
i-QvM6iP8Ku1WyDgoStMqAKW,Q6082121,Herr RUBBESTAD (bf) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1954/prot-1954--ak--16.xml,1954
i-CKq8TBXQT32k2mkehGGHCx,Q1797996,Herr HERLITZ (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1955/prot-1955--fk--10.xml,1955
i-5fnFcXKVEULiaiAauJNsXd,Q5608369,Herr CHRISTENSON i Malmö (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1955/prot-1955-höst-ak--25.xml,1955
i-VCe1uVE6bwZqVKpSEriyuB,Q6180686,"Chefen för finansdepartementet, herr statsrådet SKÖLD:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1955/prot-1955--ak--9.xml,1955
i-DxY2EAJBeoB4G29DJqMbGU,Q6026379,Herr OLSSON i Gävle (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1955/prot-1955--ak--18.xml,1955
i-UgUkZU82gDwsJeXnaTzFVv,Q5923219,Herr KRISTENSSON i Osby (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1955/prot-1955--ak--16.xml,1955
i-K3nWJbJTVawenKTL62DQjU,Q2744062,Fröken HÖJER (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1956/prot-1956-höst-ak--31.xml,1956
i-L3aLATNgB1zHJ46fvb2xGb,Q5708904,Herr ELIASSON (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1956/prot-1956--ak--15.xml,1956
i-6VvKNMiMuPEp59RcuwP9HU,Q6229126,Herr WAHLUND (bf):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1956/prot-1956--fk--16.xml,1956
i-EQ94BSy57T5iGkbQ2RCHFs,unknown,Fru JOHANSSON i Norrköping (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1956/prot-1956--ak--24.xml,1956
i-5S823aeCHJbZDpJ7XSEP8G,unknown,"Herr PERSSON, EINAR, (s):",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1956/prot-1956--fk--19.xml,1956
i-59vsK9BWBGJGiqideq5AZf,unknown,Herr LARSSON i Hedenäset (bf):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--7.xml,1957
i-R1y6WWuBSFUoSuqVX2ENLj,Q5934313,Herr OSVALD (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--fk--20.xml,1957
i-K1DfYKu5Gzf8n1NguB2ZWa,Q5555135,"Herr ANDERSSON, KARL, (s):",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--fk--11.xml,1957
i-K7toKkZMz8X5Y3h4Xeitva,Q5789491,Herr HANSSON i Skegrie (bf):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--18.xml,1957
i-vfkEE2g7rCoijD1AiU8z7,Q5777713,Herr GUSTAFSSON i Stockholm (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--9.xml,1957
i-B77Vyu2ee2RWRgJP8XMc6Q,Q5796614,Herr HEDSTRÖM (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1958/prot-1958-b-fk--12.xml,1958
i-CkEszQij6HHkXwRkiq4gXW,Q5789103,"Herr HANSSON, GUSTAF HENRY, (hh):",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1958/prot-1958-a-fk--13.xml,1958
i-U1TyksCtNEzkkRqAz7SBEb,Q5623378,Herr GUSTAFSON i Göteborg (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1958/prot-1958-b-ak--9.xml,1958
i-27E7Jf4QiY1YEBjWPcG4Ha,Q5886385,"Herr JOHANSSON, IVAR, (cp):",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1958/prot-1958-a-fk--12.xml,1958
i-Jix9bTMAzLwx5pHP2VHJC,Q6256712,Herr ÖHMAN (k):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1958/prot-1958-a-fk--4.xml,1958
i-PDRuKLJhEC4UVf8JZyLKhr,Q3162739,Herr HJALMARSON (h) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959-höst-ak--27.xml,1959
i-PDYzXqD6edvD9vrdorSx8W,Q5781896,Herr HAGBERG (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959--fk--22.xml,1959
i-NZwii6ErQHRfVg8nmyrDsS,Q5826637,Herr JACOBSSON (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959--fk--11.xml,1959
i-4pVHQHxpsj9G9LVdag7ciq,Q5603080,"Herr CARLSSON, ERIC, (cp):",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959--fk--8.xml,1959
i-6FgkFv3qptxMJ6Gc1iRbFg,Q6196822,Herr SUNNE (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959--fk--17.xml,1959
i-B7CUmJaPq98rmiWkeU2tsB,Q5781896,Herr HAGBERG (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1960/prot-1960--fk--8.xml,1960
i-8W88DAxbAqkWWMncSJTrHG,unknown,Fru ERIKSSON i Stockholm (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1960/prot-1960--ak--16.xml,1960
i-NvmtCs1JSTjHtvppZgJ2Xs,Q6146893,Herr statsrådet LANGE:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1960/prot-1960--fk--16.xml,1960
i-UUpb1tQS4HTfVF6CtJCYZk,Q5556133,Herr ANDERSSON i Ronneby (s) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1960/prot-1960--ak--19.xml,1960
i-WCUDmvEntNvoL4rrdJotbC,Q5627271,Herr EDLUND (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1960/prot-1960--ak--17.xml,1960
i-LRefd8iJyhZTQLzj19LUQj,unknown,Herr JOHNSSON i Skoglösa (cp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1961/prot-1961-höst-ak--30.xml,1961
i-XesrdqJ89VLDZb2xgaTcD,Q5721610,Herr EWERLÖF (h) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1961/prot-1961--fk--25.xml,1961
i-81n5UswrsgQWyzS812vi7A,Q5584283,Herr BRACONIER (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1961/prot-1961--ak--3.xml,1961
i-LatuAcHpUKGsTfQ8tHj2CV,Q6255705,Herr ÅMAN (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1961/prot-1961--fk--24.xml,1961
i-ASrpChhm57RQV6vbBic8K6,unknown,"Herr PERSSON, EINAR, (s):",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1961/prot-1961--fk--14.xml,1961
i-ViejWLyEnbGS3NWmuco8We,Q5617240,Herr DARLIN (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1962/prot-1962--ak--15.xml,1962
i-A7fEanaUfLzigq5oFJLwpz,Q5627064,"Chefen för ecklesiastikdepartementet, herr statsrådet EDENMAN:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1962/prot-1962--ak--7.xml,1962
i-VrzcZ9xxwawoKZ8D1h2SLo,Q4969234,"Fru NETTELBRANDT (fp), som yttrade:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1962/prot-1962--ak--15.xml,1962
i-M4cRyRbSHFFjzkiKUkdb9W,Q1554742,Herr HECKSCHER (h) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1962/prot-1962--ak--3.xml,1962
i-6PeMtCD4vBWfutcqpLMwLc,Q5627416,Herr EDSTRÖM (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1962/prot-1962--fk--15.xml,1962
i-9goF6Jek3inv4tiaHPzba5,Q5789491,Herr HANSSON i Skegrie (cp) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1963/prot-1963--ak--17.xml,1963
i-VdPktpvMP8YDS4EifgHgP2,Q6021073,Herr NÄSSTRÖM (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1963/prot-1963--fk--13.xml,1963
i-K52tDwPKboGDCz486NXndf,Q6199516,Herr SVÄRD (h) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1963/prot-1963--fk--27.xml,1963
i-Qa1inJc6YGxu5qhnaxkD9y,Q5410165,Herr ADOLFSSON (k):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1963/prot-1963-höst-fk--33.xml,1963
i-8bSq2LBGpyKTbq82h5UT5M,Q5715273,"Herr ERICSSON, JOHN, (s):",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1963/prot-1963--fk--12.xml,1963
i-HKKcCfyXvXY1eM4Pr5FwjX,Q5810894,Herr HOLMBERG (k):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1964/prot-1964--ak--10.xml,1964
i-A3GUuQBtf5bnDgznuBTqsN,unknown,Herr GREBAÄCK (cp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1964/prot-1964-höst-ak--38.xml,1964
i-D95rc6gG1WBMVNkruB76tn,Q53721,Herr FÄLLDIN (cp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1964/prot-1964--ak--22.xml,1964
i-Ltx3g7hgnXZ729ywRFnHWa,Q6225983,Herr VIRGIN (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1964/prot-1964--fk--26.xml,1964
i-Muk5vV1rmv7pHNHjjuuwH5,Q5715273,"Herr ERICSSON, JOHN, (s):",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1964/prot-1964--fk--9.xml,1964
i-LGkNaxyEY6gaKRxVTBH6L4,Q6012223,Herr NILSSON i Bästekille (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1965/prot-1965-höst-ak--36.xml,1965
i-9vCMJobtMBbkhiKdiUUzyC,Q5546257,Herr ALEXANDERSON (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1965/prot-1965-höst-fk--40.xml,1965
i-5YPGJvbQLMzqGsrxWs6mtM,Q5956828,"Chefen för civildepartementet, herr statsrådet LINDHOLM:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1965/prot-1965--ak--27.xml,1965
i-9HdE5Ekb3AtmZLbngY7Ap1,Q6200331,Herr von SYDOW (h) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1965/prot-1965--ak--21.xml,1965
i-D6LXtxG1hb6rgvULCfNf3q,Q16945247,Herr GUSTAFSSON i Borås (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1965/prot-1965--ak--18.xml,1965
i-TWTAMGEoFata9fNbuh4KF1,Q5627416,Herr EDSTRÖM (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1966/prot-1966--fk--14.xml,1966
i-C5DKXqDG1EJR71hVvZsTfb,Q5410165,Herr ADOLFSSON (k):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1966/prot-1966--fk--24.xml,1966
i-9p7zYiAbXeanAwkn8X1p7X,Q5937365,Herr LARSSON i Norderön (cp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1966/prot-1966--ak--21.xml,1966
i-FnMYX3mNtqParoojsRVvKu,Q5984109,Herr MELLQVIST (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1966/prot-1966--ak--15.xml,1966
i-QwuYQ3NvUggQNHA1pADGeb,Q3379728,Fru SEGERSTEDT WIBERG (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1966/prot-1966--fk--12.xml,1966
i-BH81AG4gB5gavyBRr4hxcu,Q5234218,Herr GOMÉR (cp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1967/prot-1967--ak--10.xml,1967
i-ciS3YbRCXk86BLwL1vyPo,unknown,Herr LARSSON i Umeå (fp) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1967/prot-1967--ak--35.xml,1967
i-Kax6AKpFXsBYAt8AaRCbwt,unknown,Fru SUNDBERG (h):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1967/prot-1967-höst-ak--40.xml,1967
i-wdTTsrUnF7azfeHS4xaMk,Q1347731,Herr AHLMARK (fp) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1967/prot-1967--fk--21.xml,1967
i-R7rhrJUz4xJdma4422vho6,Q5557659,Herr ANTBY (fp) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1967/prot-1967--ak--35.xml,1967
i-YXhtYG2C5DRaRdhku6nfBw,Q5551491,Herr ADAMSSON (s) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1968/prot-1968-höst-ak--38.xml,1968
i-UF4a4GKpEkPqXK8JrDBeL5,Q1347731,Herr AHLMARK (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1968/prot-1968--fk--8.xml,1968
i-HGWQEwkZ5yfjmv9kvZADpc,Q6194224,Herr STÅHL (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1968/prot-1968-höst-ak--43.xml,1968
i-X6bhYhT3Ya59vtiA7g3rth,Q3376192,Herr statsrådet WICKMAN:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1968/prot-1968--fk--17.xml,1968
i-NsPFdfw43b3176qqy52Eph,Q6241467,Herr WIKNER (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1968/prot-1968--ak--16.xml,1968
i-XpK3a9GY1FFWETridMnouW,Q6192487,Herr STRIDSMAN (cp) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--ak--14.xml,1969
i-W6Gs3gkdu8wkoWbPyWnY4i,Q4830361,Herr förste vice talmannen STRAND (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969--fk--8.xml,1969
i-DTszziVYoEwtodk2GMJy68,Q5556070,Herr ANDERSSON i Örebro (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969-höst-ak--40.xml,1969
i-R2kxkqiw3GV9LYEPJnd9PQ,Q2345137,"Chefen för inrikesdepartementet, herr statsrådet HOLMQVIST:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969-höst-ak--43.xml,1969
i-PPV6JtH8aRUvLbid1kdvzw,Q707581,"Chefen för jordbruksdepartementet, herr statsrådet BENGTSSON:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1969/prot-1969-höst-ak--32.xml,1969
i-LBZFJ9b76LuirFHXraNUoH,unknown,Herr FRANZEÉN i Motala (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1970/prot-1970--ak--15.xml,1970
i-Fz1NPP8Brdg7G1oqdes7UE,Q5972104,Herr MAGNUSSON (s):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1970/prot-1970--fk--3.xml,1970
i-6WerSoWPcbdTzRP4c9RHa4,Q5887855,Herr JOHANSSON i Skärstad (cp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1970/prot-1970-höst-ak--40.xml,1970
i-eDDsmKhgEA7PnVZBTrSpb,unknown,Herr LARSSON i Umeå (fp) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1970/prot-1970-höst-ak--44.xml,1970
i-NtTi2x4Z7DAhMhvrpXLFUu,Q2954414,"Herr KARLSSON, GÖRAN, (s):",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1970/prot-1970--fk--31.xml,1970
i-E4BLmYAKNursget2Ew98U7,Q6216923,Herr TURESSON (m):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1971/prot-1971--23.xml,1971
i-CCbHdSNxdmzpRSRT8Cb5wz,Q6235935,Herr WENNERFORS (m) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1971/prot-1971--96.xml,1971
i-GKCaQfnoqNzruUPoeDasv8,Q4753755,Herr DAHLGREN (c) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1971/prot-1971--14.xml,1971
i-BkKLq9rnmoMSMh7D9hkRQ5,Q2130664,Herr justitieministern GEIJER:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1971/prot-1971--71.xml,1971
i-NGQjj9nvckPKAGsTjny5LW,Q4887786,Herr BÖRJESSON i Falköping (c):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1971/prot-1971--46.xml,1971
i-CLrr7ewAkzv4BvyGWbdF2T,Q4988501,Fru FRAENKEL (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--128.xml,1972
i-Gpr2Ah3ozt8qndaJgwRWwz,unknown,Herr TALMANNEN yttrade:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--60.xml,1972
i-4GoiT9k5SBA3FD3czWRTLF,Q5582047,Herr BOO (c):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--80.xml,1972
i-7SEo7SJPg1NzvgBxUrip2X,Q6340136,Herr WIKSTRÖM (fp):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--39.xml,1972
i-2HjCzrHUHCscr5zineAk3N,Q4966043,Fru MARKLUND (vpk) kort genmäle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1972/prot-1972--45.xml,1972
i-FHvtJfV7HVhjiRMaDmAk3r,Q5590197,Herr Burenstam Linder frågar:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1973/prot-1973--128.xml,1973
i-QxHpZKeYEAa5AGkucFFCbn,Q5609574,Herr CLARKSON (m):,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1973/prot-1973--54.xml,1973
